buckets,weights
0.0,9090
50.0,236
100.0,76
150.0,61
200.0,126
250.0,29
300.0,2662
350.0,8612
400.0,529
450.0,213
500.0,234
550.0,108074
600.0,35980
650.0,5948
700.0,1222
750.0,278
800.0,343
850.0,488
900.0,572
950.0,840
1000.0,3441
1050.0,6376
1100.0,1593
1150.0,1106
1200.0,5084
1250.0,4012
1300.0,803
1350.0,344
1400.0,405
1450.0,487
1500.0,222
1550.0,130
1600.0,56
1650.0,15
1700.0,12
1750.0,54
1800.0,82
1850.0,31
1900.0,2
1950.0,6
2000.0,29
2050.0,9
2100.0,30
2150.0,13
2200.0,15
2250.0,24
2300.0,1
2350.0,1
2400.0,0
2450.0,0
