buckets,weights
0.0,3521803
7.0,647520
14.0,203075
21.0,62159
28.0,31597
35.0,25447
42.0,27456
49.0,17960
56.0,10679
63.0,6499
70.0,9150
77.0,2983
84.0,6707
91.0,1402
98.0,5625
105.0,628
112.0,5172
119.0,5120
126.0,308
133.0,203
140.0,149
147.0,199
154.0,115
161.0,107
168.0,87
175.0,94
182.0,94
189.0,85
196.0,122
203.0,89
210.0,87
217.0,105
224.0,73
231.0,92
238.0,80
245.0,100
252.0,94
259.0,97
266.0,66
273.0,58
280.0,74
287.0,73
294.0,80
301.0,925
308.0,58
315.0,63
322.0,64
329.0,87
336.0,54
343.0,49
