buckets,weights
1.0,2648657
7.98,615065
14.96,155746
21.94,52951
28.92,31563
35.900000000000006,25570
42.88000000000001,28010
49.860000000000014,16797
56.84000000000002,10006
63.82000000000002,6208
70.80000000000003,8898
77.78000000000003,2886
84.76000000000003,6599
91.74000000000004,1360
98.72000000000004,5596
105.70000000000005,588
112.68000000000005,5166
119.66000000000005,5102
126.64000000000006,307
133.62000000000006,207
140.60000000000005,148
147.58000000000004,188
154.56000000000003,111
161.54000000000002,105
168.52,89
175.5,92
182.48,100
189.45999999999998,89
196.43999999999997,119
203.41999999999996,84
210.39999999999995,90
217.37999999999994,100
224.35999999999993,77
231.33999999999992,90
238.3199999999999,78
245.2999999999999,101
252.2799999999999,93
259.2599999999999,97
266.2399999999999,64
273.2199999999999,60
280.19999999999993,75
287.17999999999995,69
294.15999999999997,81
301.14,927
308.12,55
315.1,63
322.08000000000004,64
329.06000000000006,87
336.0400000000001,54
343.0200000000001,49
